HospitalCode,TypeDescription,Age,ServiceSupport,AssetCondition,ServiceIntention,FrequencyMaintenanceRequirement,MaintenanceComplexity,TotalDowntime,AlternativeBackup,Operations,MaintenanceCost,Make,Model,Manufacturer,Brand,PurchaseDate,MonthsToFailure,FailureClass
PRK350,Ventilator,23,1,0,3,1,1,48.77,1,2,24464.07,USA,Carestation 650 #986,Datex-Ohmeda Inc,Carestation,2018-03-13,4,2
PRK300,Infusion Pump,20,1,0,2,1,1,0.0,1,2,0.0,Germany,Infusomat Space #805,B. Braun Melsungen AG,Infusomat,2017-06-12,,1
PRK350,Defibrillator,1,0,0,3,1,1,0.0,1,2,0.0,USA,Lifepak 20e #757,Physio-Control Inc,Lifepak,2001-08-04,,1
PRK333,Physiologic Monitoring System,9,0,0,1,1,1,115.87,1,2,7187.28,Japan,Life Scope #806,Nihon Kohden Corp,Nihon Kohden,2004-08-20,37,2
PRK340,Infusion Pump,18,1,0,2,1,1,11.8,0,2,33213.29,USA,Sigma Spectrum #710,Baxter Healthcare Corp,Sigma,2013-07-08,21,2
PRK340,Sphygmomanometers,7,1,0,1,1,1,32.89,0,2,365.4,USA,DS66 #722,Welch Allyn Inc,Welch Allyn,1999-12-21,25,3
PRK300,Physiologic Monitoring System,10,1,0,1,1,1,0.0,0,2,0.0,USA,CARESCAPE #166,GE Healthcare,GE,1995-06-13,,1
PRK319,Ventilator,5,1,0,3,1,1,0.0,1,2,0.0,USA,Carestation 650 #658,Datex-Ohmeda Inc,Carestation,2010-07-07,,1
PRK342,Infusion Pump,8,1,0,2,1,1,0.0,1,2,0.0,Ireland,Alaris GP #489,Medtronic,Alaris,2006-06-12,,1
PRK330,Infusion Pump,6,1,0,2,1,1,2634.12,0,2,1567.89,Germany,Infusomat Space #477,B. Braun Melsungen AG,Infusomat,2010-09-07,27,3
PRK340,Infusion Pump,1,1,0,2,1,1,41.48,0,2,122.51,Ireland,Alaris GP #784,Medtronic,Alaris,2004-06-28,53,2
PRK360,Sphygmomanometers,30,1,0,1,1,1,97.6,0,2,8.49,Malaysia,MV-BP100 #740,Med-Vantage Sdn Bhd,MedVantage,2019-04-11,2,3
